"Ensembl_ID","Gene","log2FoldChange","pvalue","padj"
"ENSMUSG00000019929","Dcn",-2.53376886759006,5.02173561174512e-26,9.23296309575458e-22
"ENSMUSG00000001506","Col1a1",-2.93115751189956,3.20680638489782e-20,2.03896137175619e-16
"ENSMUSG00000015441","Gzmf",3.07036698305233,4.18640323003645e-20,2.03896137175619e-16
"ENSMUSG00000016494","Cd34",-2.5515393513498,4.43589986240876e-20,2.03896137175619e-16
"ENSMUSG00000029781","Fkbp9",-2.65980935266211,6.08172111737152e-19,2.23637048927985e-15
"ENSMUSG00000027962","Vcam1",-2.20845452293418,1.17263170284975e-18,3.5933344147659e-15
"ENSMUSG00000001435","Col18a1",-2.40780944361211,4.72556464922362e-18,1.24120330915179e-14
"ENSMUSG00000031375","Bgn",-2.31576291351422,8.69158718040945e-17,1.9975440237376e-13
"ENSMUSG00000000782","Tcf7",-1.79433306515167,1.1577630791163e-16,2.36518133029248e-13
"ENSMUSG00000001036","Epn2",-2.48923887465993,3.84028576479296e-16,7.06074940714833e-13
